Key,Id,Shared Comments,English(en),English(en) Comments,Japanese(ja),Japanese(ja) Comments
"Stage1_1.MessageTrigger_wall.0",8691631140864,"","That wall on the right looks thin too — I bet we can go through it!","","右の壁も薄いから通れそうだよ。",""
"Stage1_1.MessageTrigger_wall.1",8691635335168,"","<color=yellow>Hold right and mash B</color> to warp straight through it!","","<color=yellow>右入力しながらB連打</color>して、
ワープでどんどん壁を抜けていこう！",""
"Stage1_1.MessageReward_3.0",303919449649152,"","Goal!","","ゴールっ！",""
"Stage1_1.MessageReward_3.1",303919449649153,"","That was awesome!
You might even be a better warper than me!!","","最高だったよ！
あたしよりワープ使いが上手いかも！！",""
"Stage1_1.MessageTrigger_Coin_6.0",303923023196160,"","Huh, what’s up with this one coin?","","なんだろうね、この1コイン。",""
"Stage1_1.MessageTrigger_Coin_4.0",303924394733568,"","We made it!","","やった、届いたね！",""
"Stage1_1.MessageTrigger_Coin_4.1",303924394733569,"","Umm... there weren't any rare items in here, but...
Nice job! You're awesome! You're the best!","","えーっと、レアなアイテムとかは無かったけど……
おめでとう！えらい！最強！",""
"Stage1_1.MessageTrigger_Fall_3.0",303925598498816,"","We did it! That was awesome!","","やったね！
上手い上手い！",""
"Stage1_1.MessageReward_2.0",303926374445056,"","Goal!","","ゴールっ！",""
"Stage1_1.MessageReward_2.1",303926374445057,"","Wow! New best time!
You've totally mastered warping!","","すごいすごい！ベストタイム更新だよ！
ワープの扱いはもう完璧だね！",""
"Stage1_1.MessageTrigger_Fall_1.0",303927880200192,"","Eeeek!!","","ひゃああ！！",""
"Stage1_1.MessageTrigger_Fall_1.1",303927880200193,"","...That ledge is a bit too high to reach.","","……この先の足場、ちょっと高さがあって上りにくいね。",""
"Stage1_1.MessageTrigger_Fall_1.2",303927880200194,"","You can warp diagonally, too.
Try <color=yellow>holding Up-Right and pressing B</color>!","","ワープは斜め方向にも出せるよ。
<color=yellow>右上入力したままワープ</color>も試してみてね。",""
"Stage1_1.MessageTrigger_wall_1.0",303929742471168,"","<color=yellow>Move left and right with the D-pad!</color>
Double-tap it to start running!","","<color=yellow>十字キーの左右入力で移動するよ！</color>
2回押したら走るね！",""
"Stage1_1.MessageReward_1.0",303930614886400,"","Goal!","","ゴールっ！",""
"Stage1_1.MessageReward_1.1",303930614886401,"","Nice time!
Getting the hang of warping yet?","","いい感じのタイムだね！
ワープの使い方にはもう慣れた？",""
"Stage1_1.MessageTrigger_Fall_2.0",303932087087104,"","Wow, wow! We made it across that huge gap!
I knew your power was the real deal!","","すごいすごい！大穴も越えちゃったよ！
やっぱりキミの力って本物なんだ！",""
"Stage1_1.MessageTrigger_Fall_2.1",303932087087105,"","Hey, Player!
You'll stay on my side from now on... right?","","ね、プレイヤー！
この先もずっと、あたしの味方でいてね！",""
"Stage1_1.MessageTrigger_Fall_2.2",303932087087106,"","You know, I want to become this city's hero.","","あたしね。この町のヒーローになりたいんだ。",""
"Stage1_1.MessageTrigger_Fall_2.3",303932087087107,"","That's why I'm part of the School Defense Club,
protecting the peace of this town.","","そのために、『学園防衛部』として
この町の平和を守る活動をしてるんだよ。",""
"Stage1_1.MessageTrigger_Fall_2.4",303932087087108,"","A little while ago, one of my teammates
reported that enemies had appeared.
Come on, Player! Let's hurry!","","さっき、同じ防衛部仲間から
敵が現れたって連絡があったんだ。
急ごう、プレイヤー！",""
"Stage1_1.MessageReward.0",303933236326400,"","Goal!","","ゴールっ！",""
"Stage1_1.MessageReward.1",303933236326401,"","Think you've got the course down?
Come on, let's run it again!","","コースは覚えた？
もう一回行ってみようよ！",""
"Stage1_1.MessageTrigger_start.0",303933748031488,"","Yeah, that’s it!
Now I can warp straight down!","","そうそう！
これで下方向にワープ出来るんだよ！",""
"Stage1_1.MessageTrigger_start.1",303933748031489,"","<color=yellow>Hold Down and mash B</color> to warp all the way down!","","<color=yellow>下入力したままB連打</color>して、
一気に下まで行こう！",""
"Stage1_1.MessageTrigger_Coin_7.0",303935237009408,"","This is the Time Attack course.
Looks like we can't go in right now.","","こっちはタイムアタック場だよ。
今は入れないみたいだね。",""
"Stage1_1.MessageTrigger_Coin_5.0",303936730181632,"","Woohoo! So many coins!","","わーい、コインがたくさんだー！",""
"Stage1_1.MessageTrigger_jump_1.0",303937686482944,"","<color=yellow>Press B on the ground, and I’ll jump!","","<color=yellow>地上でBボタンを押すとジャンプ</color>するよ。",""
"Stage1_1.MessageTrigger_jump_1.1",303937686482945,"","In the air, <color=yellow>hold a direction and press B</color> to warp!","","空中で<color=yellow>方向入力したままBボタン</color>を押したら、
ワープ移動するね！",""
"Stage1_1.MessageTrigger_overheat.0",303938714087424,"","Oh! If <color=yellow>my gauge runs out</color>, <color=yellow>I won’t be able to warp</color> for a bit!","","あ。頭の上の<color=yellow>ゲージを使い切る</color>と、しばらく<color=yellow>ワープ出来なく</color>なっちゃうんだよ。",""
"Stage1_1.MessageTrigger_overheat.1",303938714087425,"","So <color=yellow>I gotta land</color> before it’s empty and <color=yellow>let it recharge</color>, okay?","","使い切る前に<color=yellow>着地して、ゲージを回復</color>させようね。",""
"Stage1_1.MessageTrigger_Coin_1.0",303939490033664,"","Whoosh!","","びゅーん！",""
"Stage1_1.MessageTrigger_Fall.0",303940739936256,"","Waaahhh!!","","わあああ！",""
"Stage1_1.MessageTrigger_Fall.1",303940739936257,"","…I missed my step.","","……足を踏み外しちゃった。",""
"Stage1_1.MessageTrigger_Fall.2",303940739936258,"","If <color=yellow>I warp into a thick wall</color>, I can scramble right up it!","","<color=yellow>壁に勢いよくぶつかったら</color>、あたし頑張って駆け上がるよ！",""
"Stage1_1.MessageTrigger_Coin_2.0",303942199554048,"","Whoa, there are tons of coins here too!
Wanna grab ’em all?","","ここにもコインがたくさんあるみたいだね。
全部取っちゃう？",""
"Stage1_1.MessageTrigger_Coin_2.1",303942199554049,"","If I grab tons of coins, I level up and my health and gauge go up!","","コインをたくさん集めると、
レベルアップして体力とゲージが増えるんだよ！",""
"Stage1_1.MessageTrigger_Coin_3.0",303942900002816,"","Alright, let’s keep going!
I’m counting on you, Player!","","さあ、先に進もう！
これからよろしくね、プレイヤー！",""
"Stage1_2.MessageTrigger_enemy_3.0",305880043499520,"","If you press the <color=yellow>A button</color>, Marlica will attack right away.","","<color=yellow>Aボタン</color>を押したら、マルリカがすぐに攻撃してくれるよっ。",""
"Stage1_2.MessageTrigger_enemy_5.0",305886976684032,"","Hold X and just dash right through!","","Xボタンを押したまま、駆け抜けよう！",""
"Stage1_2.MessageTrigger_enemy_2.0",305887685521408,"","Enemy!","","敵だよ！",""
